,apir_ticker,const,Market,Value,Size,Momentum,Quality,Classification,Tracking Error
PM Capital Australian Companies,PMC0101AU,0.20,21.28,6.49,2.64,-2.30,0.30,Value,8.74%
Strategic Australian Equity,DFA0008AU,-0.99,78.39,6.42,6.58,-3.80,-4.63,Size,3.22%
Schroder Equity Opportunities Fund - WC,SCH0035AU,1.57,34.27,5.99,5.17,-3.46,-2.17,Value,5.65%
Perpetual WFIA-Perpetual Indl Shr,PER0028AU,-1.76,39.96,5.79,1.06,0.54,-0.85,Value,4.84%
WealthFocus Perpetual Industrial Share,PER0011AU,-1.66,39.72,5.77,1.08,0.52,-0.89,Value,4.87%
Perennial Income Generator Fund,EIGA,-2.75,34.20,5.76,0.73,-1.07,0.32,Value,3.94%
Perpetual Industrial,PER0046AU,-0.86,39.74,5.76,1.09,0.56,-0.88,Value,4.86%
Merlon Australian Equity Income (CNA),WAR0002AU,-1.72,33.66,5.46,3.17,-1.71,-1.80,Value,5.65%
Martin Currie Select Opps X,SSB0007AU,1.12,24.96,5.34,5.01,-2.91,-2.53,Value,8.76%
Tyndall Australian Share Income,TYN0038AU,-1.12,38.71,5.23,2.22,-0.90,-2.31,Value,4.46%
Allan Gray Australia Equity A,ETL0060AU,2.37,23.83,5.06,6.74,-3.59,-4.36,Size,9.13%
Schroder Australian Equity Pool - IC,SCH0100AU,2.16,64.04,4.92,-0.43,-4.98,-3.15,Value,3.42%
Schroder WS Australian Equity Fund - WC,SCH0101AU,0.99,64.18,4.90,-0.49,-4.93,-3.24,Value,3.41%
Schroder Australian Equity Fund - PC,SCH0002AU,1.37,63.91,4.89,-0.46,-4.91,-3.20,Value,3.42%
Maple-Brown Abbott Australian Sust Fut,MPL0544AU,-0.98,47.94,4.59,-0.82,-0.53,-5.10,Value,3.91%
BetaShares Australian Fincls Sect ETF,QFN,-1.42,28.37,4.50,-2.80,3.14,-3.78,Value,8.20%
iShares Edge MSCI Australia Mltfctr ETF,AUMF,-2.57,40.21,4.46,6.65,0.98,6.17,Size,3.83%
Investors Mutual Equity Income,IML0005AU,-0.03,29.37,4.43,3.13,0.35,-2.45,Value,6.38%
SPDR® S&P/ASX 200 Fincls EX A-REIT ETF,OZF,-1.49,28.11,4.34,-2.76,3.10,-3.71,Value,8.26%
Perpetual Pure Value Share,PER0439AU,4.02,16.81,4.32,5.03,-1.18,-0.60,Size,8.37%
Plato Australian Shares Income,WHT0039AU,-5.67,84.89,4.08,0.60,1.99,5.21,Quality,2.10%
Vanguard MSCI Australian Small Coms ETF,VSO,-2.44,102.78,4.06,44.89,-3.92,1.43,Size,7.05%
Vanguard MSCI Australian Large Coms ETF,VLC,-5.62,118.29,4.04,-14.27,-3.32,2.65,Value,2.49%
Perpetual WFIA-Perpetual ESG AU Share,PER0491AU,1.17,25.82,3.97,4.70,-0.26,0.21,Size,6.14%
Armytage Strategic Opportunities Ret,TGP0005AU,-3.66,39.25,3.95,3.60,0.95,-0.28,Value,4.77%
CFS FC Inv-Lazard Select Aus Equity,FSF0418AU,-0.50,29.62,3.90,0.36,-2.33,-3.59,Value,6.32%
Argonaut Natural Resources,ARG3633AU,2.37,4.32,3.82,3.33,-0.27,2.52,Value,16.64%
Microequities High Income Value Microcap,MIC0002AU,1.51,13.15,3.67,7.68,0.72,-0.76,Size,10.63%
iShares S&P/ASX 20 ETF,ILC,-5.69,103.12,3.50,-14.83,-2.56,2.54,Value,2.90%
Celeste Australian Small Companies,FAM0101AU,0.15,19.89,3.48,9.66,-2.42,0.80,Size,10.35%
UBS Australian Share Fund,SBC0817AU,-1.29,59.92,3.40,0.12,-1.90,-3.51,Value,3.53%
Martin Currie Sust Eq A,SSB0125AU,-2.59,74.21,3.34,-0.52,-0.67,-0.48,Value,2.70%
Perpetual WFIA-Perpetual Share Plus L/S,PER0495AU,1.52,27.22,3.21,1.92,0.52,-2.96,Value,5.53%
Perennial Concentrated Australian Shares,WPC6780AU,-0.75,25.74,3.17,0.29,-0.61,-2.03,Value,5.01%
Tyndall WS Plus Australian Share Fund,BTA0537AU,-0.86,28.25,3.17,1.34,-0.58,-2.13,Value,5.24%
Paradice Equity Alpha Plus,ETL8096AU,2.87,21.09,3.17,1.02,1.75,-0.16,Value,5.03%
Russell Aust Opportunities Class A,RIM0029AU,-2.39,98.48,3.16,5.08,-1.86,-3.30,Size,2.16%
Sterling Units,STE0001AU,2.25,10.82,3.12,5.35,0.82,0.49,Size,10.86%
Invesco Wholesale Australian Share M,GTU0133AU,-2.01,34.48,3.10,0.55,0.57,1.78,Value,2.45%
Armytage Australian Equity Income,ETL0148AU,-1.90,49.11,3.09,-2.56,-0.35,1.72,Value,3.93%
Investors Mutual WS Future Leaders,IML0003AU,0.78,21.70,3.08,8.95,0.00,-1.70,Size,7.83%
iShares S&P/ASX Div Opps ESG Scrnd ETF,IHD,-3.10,28.87,2.90,1.37,-2.15,4.30,Quality,5.45%
Perennial Value Australian Shares Trust,IOF0200AU,-1.30,64.42,2.89,2.05,-1.75,-4.97,Value,3.40%
Tyndall Wholesale Plus Aus Shr Inc Fd,WFS8168AU,-1.07,26.42,2.86,1.14,-1.58,-2.41,Value,4.88%
Cromwell Phoenix Opportunities Fund,CRM0028AU,2.78,8.23,2.82,4.53,2.21,0.21,Size,11.53%
VanEck Australian Banks ETF,MVB,-0.69,21.65,2.76,-1.94,3.70,-4.86,Momentum,10.02%
Perpetual Smaller Companies No. 2,PER0259AU,2.10,27.79,2.74,14.35,-0.47,-1.45,Size,8.55%
Martin Currie Equity Income X,SSB0044AU,-2.22,34.77,2.72,3.74,2.64,-1.39,Size,4.29%
VanEck Australian Resources ETF,MVR,0.92,11.50,2.67,2.81,-3.20,1.48,Size,11.76%
Perpetual WFIA-Perpetual Concntr Eq,PER0488AU,-0.27,38.97,2.66,0.39,-1.35,-2.34,Value,4.13%
Tyndall Australian Share Wholesale,TYN0028AU,-0.79,47.55,2.66,0.13,-1.86,-4.01,Value,4.44%
Affluence Small Company Ordinary,AFX0240AU,2.10,10.49,2.62,6.82,-0.81,-1.78,Size,8.47%
Alphinity Sustainable Share B,GLO0015AU,-4.30,59.78,2.61,3.24,0.98,2.34,Size,3.37%
Investors Mutual WS Australian Share,IML0002AU,-0.67,42.34,2.60,0.16,-1.08,-0.21,Value,4.69%
Investors Mutual WS Aus Smaller Co,IML0001AU,1.01,19.97,2.53,9.05,-0.29,-1.05,Size,8.40%
Flinders Emerging Companies A,ETL0444AU,-0.77,20.32,2.49,9.86,1.67,0.58,Size,9.10%
Longwave Australian Small Companies A,WHT9368AU,-0.71,24.47,2.45,10.19,0.67,2.32,Size,7.08%
Fiducian Geared Australian Shares,FPS0011AU,-2.43,45.84,2.43,1.71,1.61,-3.15,Alpha,11.03%
Ausbil Active Dividend Income - Wholsl,AAP3656AU,-1.15,44.42,2.38,0.95,2.73,0.10,Momentum,2.59%
BetaShares Aus Top 20 Eq Yld Mxmsr ETF,YMAX,-4.31,53.08,2.38,-6.21,-1.14,0.17,Alpha,3.62%
Regal Emerging Companies Opports Gen,RGL8372AU,1.04,2.21,2.37,2.19,2.61,-2.37,Momentum,14.70%
Intelligent Investor AUS Eq Inc ETF,INIF,0.04,14.65,2.33,2.99,-0.97,-1.07,Size,6.92%
CFML Schroder Equity Opportunities,NRM0028AU,1.23,32.80,2.32,1.60,-2.75,-2.84,Alpha,4.63%
Spheria Australian Microcap,WHT0066AU,1.84,9.99,2.30,6.21,-1.08,-0.55,Size,11.78%
Acorn Capital NextGen Resources Ordinary,ACQ3509AU,0.21,3.81,2.28,2.49,0.74,0.22,Alpha,18.55%
OC Premium Small Companies,OPS0002AU,-0.49,23.12,2.27,10.63,-0.30,1.51,Size,10.27%
Perennial Microcap Resources Trust,WPC0911AU,0.53,3.44,2.26,3.19,-0.17,-0.13,Size,16.67%
Perpetual Smaller Companies,PER0048AU,1.50,27.99,2.26,14.50,-1.24,-0.85,Size,8.60%
Perpetual WFIA-Perpetual Small Coms,PER0039AU,0.98,27.95,2.26,14.46,-1.26,-0.84,Size,8.60%
Perpetual's - Australian Share Fund,PER0281AU,-0.28,38.62,2.19,2.09,-0.61,-1.51,Alpha,3.99%
Aliwa Alpha,ALP1778AU,1.67,2.39,2.16,4.16,-0.28,0.47,Size,27.29%
Dimensional Aust Large Company Trust,DFA0103AU,-7.05,283.52,2.11,-10.62,-2.10,-0.46,Beta,0.90%
Collins St Value Fund,CLN6300AU,1.28,5.54,2.11,2.46,-1.67,0.67,Alpha,14.18%
Lanyon Investment Fund,LYN3596AU,2.77,5.35,2.10,2.20,-1.37,3.46,Quality,12.97%
Perpetual SHARE-PLUS Long-Short S,PER8590AU,0.58,11.40,2.10,2.53,2.99,0.46,Momentum,5.92%
Morningstar Australian Shares Fund B,INT0023AU,-2.90,41.68,2.09,7.68,-0.65,2.77,Size,4.37%
CFS FC-Acadian Geared Australian Equity,FSF0453AU,-4.25,49.45,2.06,0.60,-0.93,3.08,Quality,14.32%
Pendal Focus Australian Equities,PDL0422AU,-0.26,29.63,2.03,1.52,-0.46,-1.20,Alpha,2.65%
DNR Capital Australian Emerging Coms,PIM4357AU,1.15,10.46,2.03,6.59,0.09,0.83,Size,13.04%
Merlon Concentrated Australian Share A,HOW2217AU,0.60,16.51,2.03,2.35,-1.50,-3.03,Alpha,8.05%
UBS Australian Small Companies SIV Fund,UBS0063AU,0.08,11.32,2.03,8.06,1.72,-0.66,Size,11.88%
Perpetual WS Plus Australian Share,BTA0482AU,-0.72,28.16,2.03,2.31,-1.16,-0.81,Alpha,4.46%
Investors Mutual Small Cap,IML0006AU,2.53,19.75,2.01,8.41,-0.81,-1.46,Size,8.37%
Paradice Australian Equities Fund,ETL8084AU,-0.21,27.21,2.00,0.84,2.55,-1.16,Alpha,4.25%
L1 Capital Catalyst Daily,ETL1293AU,1.61,9.01,1.97,2.48,1.84,-2.44,Alpha,8.14%
OC Dynamic Equity,OPS0001AU,0.13,21.11,1.96,9.99,-0.04,1.09,Size,11.16%
Katana Australian Equity Fund,KTA0002AU,1.77,24.33,1.95,7.19,-2.02,0.03,Size,6.46%
Mercer Australian Shrs for Tax Exmpt Inv,MIN0087AU,-1.32,55.43,1.94,1.34,0.26,1.75,Alpha,2.50%
Maple-Brown Abbott Australian Value Opps,MPL1039AU,1.57,10.93,1.88,1.03,0.37,-3.78,Alpha,6.73%
Ganes Focused Value,GCM0001AU,0.85,17.66,1.86,8.55,1.79,0.96,Size,9.52%
Equitable Investors Dragonfly,EQB7664AU,-1.69,3.85,1.82,2.72,0.32,-0.77,Size,18.71%
CFS Developing Companies,FSF0035AU,0.99,17.34,1.80,10.43,-0.49,-1.48,Size,10.83%
Microequities Value Income,PIM9091AU,1.36,10.24,1.79,5.20,0.25,-1.25,Size,10.34%
BetaShares Australian Small Coms Sel ETF,SMLL,-1.48,26.72,1.76,10.47,-0.48,1.70,Size,6.85%
NovaPort Smaller Companies Class I,HOW0018AU,0.51,23.93,1.73,9.61,0.57,0.43,Size,8.28%
Perpetual WFIA-Perpetual Geared Aus,PER0492AU,-1.35,40.53,1.71,1.02,-0.66,-1.79,Alpha,18.02%
Australian Equities Extension Fund,BEG0006AU,-1.23,30.12,1.66,0.28,2.61,1.54,Momentum,5.09%
Pengana Australian Equities Class A,PCL0005AU,1.33,23.68,1.61,3.58,1.13,-0.68,Size,6.60%
SPDR® S&P/ASX 200 Resources ETF,OZR,0.11,10.02,1.60,1.29,-4.45,0.84,Alpha,14.70%
Baza High Conviction Fund A,TOI6244AU,-1.13,5.82,1.59,2.49,-1.93,0.26,Alpha,12.27%
Schroder WS Plus Australian Equity,BTA0483AU,0.15,44.73,1.58,-0.78,-3.25,-3.30,Alpha,3.43%
BetaShares Australian Res Sect ETF,QRE,0.10,10.03,1.52,1.36,-4.30,0.84,Alpha,14.65%
Smallco Broadcap,ASC0003AU,3.67,21.57,1.51,6.21,0.99,-0.48,Size,8.76%
Lazard Defensive Australian Equity,LAZ0022AU,2.16,17.28,1.49,1.78,0.99,-2.73,Alpha,7.03%
Paradice Australian Small Cap Fund B,ETL0739AU,0.41,13.17,1.49,4.73,1.02,-0.24,Size,8.90%
CFS Australian Share,FSF0485AU,-3.31,111.95,1.49,-0.11,-3.42,-3.16,Beta,1.83%
ICE Fund,ETL0062AU,1.35,20.38,1.48,8.36,1.96,-0.98,Size,8.96%
SPDR® S&P/ASX 50 ETF,SFY,-8.42,270.49,1.42,-26.98,-4.15,-1.19,Beta,1.59%
Ausbil Australian SmallCap,AAP5529AU,2.57,10.70,1.41,6.92,2.20,-0.90,Size,10.71%
Morningstar Australian Shares Fund Z,INT0002AU,-1.33,25.76,1.39,6.60,-1.60,2.14,Size,5.16%
BT Imp Shr Retail,RFA0019AU,-3.20,86.48,1.34,-3.26,0.25,-3.07,Alpha,2.34%
Australian Eagle Trust,ALR2783AU,1.28,19.35,1.32,3.62,6.60,3.04,Momentum,8.40%
Pendal Wholesale Plus Australian Share,BTA0476AU,-0.89,53.66,1.32,1.22,-0.11,0.26,Alpha,2.39%
Invesco WS Aus Share,CNA0811AU,-3.73,74.83,1.31,2.05,0.12,3.42,Quality,2.72%
Pendal Imputation,RFA0103AU,-1.71,86.38,1.28,-3.25,0.36,-3.09,Alpha,2.34%
Firetrail Australian High Conviction,WHT3810AU,-1.16,19.90,1.25,3.13,-2.85,-0.30,Size,5.90%
Acorn Capital Micro Opportunities Ord,ACQ4764AU,0.39,4.91,1.25,3.08,0.19,-0.35,Size,13.82%
Russell After-Tax Aus Shr (SuperInvs) A,RIM0046AU,-4.28,109.07,1.25,2.41,1.02,-2.77,Beta,1.55%
Regal Long Short Australian Equity,AMR0006AU,0.04,21.43,1.23,4.65,4.75,-0.92,Momentum,8.80%
The TAMIM Australia Small Cap Income,CTS8008AU,0.73,8.84,1.23,3.50,0.42,-1.51,Size,14.81%
Sandon Capital Activist,FHT0010AU,1.59,8.92,1.22,3.96,1.39,-2.50,Size,11.55%
Macquarie Australian Emerging Companies,MAQ7203AU,0.61,12.42,1.19,7.77,-0.35,-0.46,Size,12.82%
Martin Currie Eth Val WithInc,SSB0064AU,-1.55,27.40,1.18,3.63,1.04,-3.27,Size,4.45%
Perpetual Concentrated Equity,PER0102AU,0.51,45.88,1.16,-0.11,-1.81,-2.00,Alpha,4.08%
Pengana Emerging Companies,PER0270AU,1.05,24.46,1.15,9.48,2.99,-0.06,Size,9.29%
Regal Australian Long Short Equity,RGL0002AU,0.57,22.91,1.15,4.75,5.05,-1.32,Momentum,8.71%
Chester High Conviction,OPS7755AU,2.41,17.94,1.14,5.15,-0.08,-0.47,Size,5.95%
Alphinity Australian Share,PAM0001AU,-3.23,74.39,1.10,0.88,0.36,2.19,Alpha,2.65%
Mercer Australian Small Companies,MIN0007AU,-0.23,33.01,1.09,15.03,-1.03,-1.08,Size,8.23%
Dynamic Australian Equities,ETL1574AU,-2.38,54.80,1.08,2.01,-0.02,0.94,Beta,1.25%
Alphinity Australian Equity,HOW0019AU,-2.12,89.50,1.08,1.48,0.54,1.48,Alpha,2.15%
Elston Australian Large Companies A,ETL7541AU,0.35,17.30,1.06,2.40,-0.91,-4.55,Alpha,6.83%
NovaPort Microcap,HOW0027AU,1.47,14.53,1.06,7.02,0.17,-3.60,Size,10.77%
Perpetual Pure Microcap Fund,PER0704AU,2.48,10.55,1.05,5.70,0.92,-2.74,Size,12.14%
Spheria Wholesale Plus Aus Smllr Coms Fd,WFS8908AU,0.30,14.49,1.04,6.77,-2.25,0.14,Size,9.65%
Russell Australian Share A,RIM0006AU,-3.22,122.82,0.98,1.42,-2.46,-3.52,Beta,1.73%
The TAMIM Australia All Cap,CTS9748AU,0.67,6.99,0.97,4.41,1.78,-1.86,Size,16.66%
Microequities Deep Value,MIC0001AU,2.23,11.38,0.94,5.60,0.61,-1.30,Size,12.71%
Ausbil Australian Concentrated Equity,AAP9227AU,0.28,38.43,0.90,1.84,2.58,-1.67,Alpha,3.30%
Smallco Investment,ASC0001AU,1.96,16.87,0.90,8.00,0.47,-0.08,Size,11.50%
SGH Australian Small Companies,CSA0131AU,-1.05,24.22,0.89,11.14,1.94,2.53,Size,8.40%
Perpetual SHARE-PLUS Long-Short,PER0072AU,1.65,33.24,0.86,0.60,0.27,-2.76,Alpha,5.33%
Alphinity Concentrated Aus Share B,EQI0001AU,-3.50,48.89,0.81,2.21,-0.34,2.44,Alpha,4.15%
Perpetual Geared Australian,PER0071AU,-1.29,48.22,0.81,1.37,-0.88,-1.51,Alpha,18.36%
Tribeca Australian Smaller Coms,ETL0052AU,0.57,28.41,0.81,13.39,1.12,-1.94,Size,8.64%
Surrey Australian Equities Fund,SPC2070AU,-1.04,13.32,0.80,7.22,0.78,-0.64,Size,10.02%
Martin Currie Sustainable Income Fund,SSB4946AU,-1.64,25.82,0.79,2.51,0.88,-3.78,Alpha,4.49%
Specialist Australian Shares,WPC0005AU,0.15,24.67,0.77,7.17,-5.57,0.97,Size,7.70%
Regal Australian Small Companies Fund,RGL0004AU,2.10,9.22,0.76,5.48,2.92,-0.99,Size,20.28%
Invesco WS Aus Smaller Companies-Class A,CNA0812AU,-1.30,31.41,0.76,14.98,0.08,0.73,Size,8.45%
Eley Griffiths Group Emerging Companies,PIM5346AU,1.94,13.29,0.75,7.06,1.68,-0.57,Size,10.47%
UBS Microcap Fund,UBS0057AU,1.63,11.47,0.74,6.80,1.49,-1.51,Size,11.04%
Perennial Value Future Leaders Trust,WPC1770AU,-1.55,7.33,0.74,4.69,-0.32,-0.75,Size,15.32%
Maven Smaller Companies,FHT3495AU,0.30,3.88,0.74,3.21,0.99,1.15,Size,14.40%
Perpetual WFIA-Perpetual Aus Shr,PER0029AU,-1.30,48.53,0.71,1.59,-0.97,-1.44,Alpha,3.82%
Firetrail Australian Small Companies M,WHT2716AU,1.73,10.47,0.70,5.94,-0.45,-0.41,Size,13.12%
Bombora Special Investments Growth,BIM8414AU,1.20,4.19,0.69,2.24,0.55,-0.85,Alpha,13.77%
Tanarra LTV II Foundation,PIM5119AU,-1.09,5.36,0.67,1.60,-1.78,0.64,Alpha,9.87%
Perennial Value Smaller Companies Trust,IOF0214AU,0.73,21.45,0.67,10.39,-1.83,-2.45,Size,10.52%
BlackRock GSS Australian Equities Index,NET0001AU,-5.01,137.25,0.64,0.75,-3.92,-1.03,Beta,1.48%
Milford Australian Abs Gr W,ETL8155AU,2.25,13.25,0.61,1.94,-0.10,0.26,Alpha,8.31%
Wentworth Williamson,WWM0001AU,0.40,5.55,0.60,2.74,-1.03,-1.46,Size,13.33%
Ellerston Australian Share Fund,ECL0005AU,-0.10,21.26,0.58,4.32,-1.97,0.13,Size,7.28%
Perpetual Australian Share,PER0049AU,-0.21,48.32,0.57,1.52,-0.96,-1.49,Alpha,3.84%
Perennial Value Emerging Companies Trust,WPC7408AU,-1.09,7.42,0.52,4.43,-0.37,-0.83,Size,14.95%
Perpetual Australia Share S,PER9955AU,-0.50,10.83,0.51,1.12,0.84,0.39,Alpha,5.14%
DNR Capital Aus Eq High Conviction R,PIM0028AU,0.57,29.91,0.50,1.42,-1.29,-1.55,Alpha,4.56%
Prime Value Emerging Opportunities Fund,PVA0013AU,1.36,11.37,0.50,6.71,1.42,-0.75,Size,9.48%
BT Investor Choice Australian Share,WFS0021AU,-2.87,89.84,0.47,-6.35,-0.31,-1.13,Alpha,2.41%
1851 Emerging Companies,PIM5565AU,1.59,12.04,0.47,6.08,0.14,-1.77,Size,10.71%
Armytage Micro Cap Activist,ETL3064AU,1.48,3.06,0.46,1.61,0.39,-0.12,Alpha,17.34%
Macquarie Australian Enhanced Idx Shr B,AMP0828AU,-5.80,79.41,0.45,-1.90,-0.59,0.92,Alpha,2.44%
CC Sage Capital Equity Plus,CHN8862AU,2.66,30.46,0.45,1.52,1.14,-0.61,Alpha,3.45%
Anacacia Wattle Fund,ACI0632AU,2.63,8.31,0.45,6.18,0.82,0.12,Size,11.70%
Ausbil Australian Emerging Leaders IC,AAP5633AU,0.28,3.55,0.44,0.92,0.42,-0.32,Alpha,19.04%
Hyperion Small Growth Companies,BNT0101AU,1.40,15.65,0.43,6.48,-0.11,3.21,Size,12.62%
BlackRock Australian Alpha Tilts S,BLK6723AU,-3.23,80.83,0.41,3.14,0.62,2.12,Size,1.35%
Lincoln Wholesale Australian Income,ETL0324AU,-2.17,24.27,0.39,2.87,1.33,1.78,Size,5.85%
Cyan C3G,CIM0001AU,-0.13,5.93,0.35,5.16,1.44,-2.01,Size,16.55%
Microequities Pure Microcap Value,MIC5676AU,0.53,8.93,0.34,3.45,-1.23,-0.29,Size,13.74%
Saville Capital Emerging Companies,OMF8185AU,0.32,4.68,0.33,5.01,0.34,-0.65,Size,23.32%
NorthStar Impact Australian Equities fd,ETL6826AU,-0.32,10.62,0.33,2.33,-1.59,-0.20,Alpha,10.75%
iShares Wholesale Australian Eq Idx E,BGL0005AU,0.13,6.66,0.31,-0.22,0.06,-0.52,Alpha,20.89%
Clime Smaller Companies,CLA1557AU,-0.13,11.80,0.29,4.70,0.61,-0.52,Size,11.00%
Ethical Partners Australian Share B,EPF3813AU,-1.79,17.91,0.25,2.02,-0.25,-0.87,Alpha,5.83%
Morningstar Australian Shares Fund A,INT0022AU,-1.65,54.30,0.24,5.80,-1.92,1.36,Size,3.67%
Eiger Australian Small Companies,HOW2967AU,0.65,13.28,0.22,7.22,1.75,-0.59,Size,10.40%
Milford Dynamic Small Companies Fund,ETL6978AU,1.90,18.78,0.21,8.59,0.80,-0.55,Size,7.12%
Ellerston Overlay Australian Share,ECL0012AU,-0.61,13.49,0.21,3.03,-1.80,-0.47,Size,9.27%
Meme Private Investment Trust Ordinary,MCM3327AU,-1.34,3.33,0.17,1.36,0.36,-1.43,Alpha,17.69%
Australian Ethical Australian Shr,AUG0002AU,1.23,20.29,0.17,5.19,0.39,-2.74,Size,8.02%
CFS Australian Small Companies,FSF0502AU,0.06,36.86,0.14,16.79,0.48,-2.23,Size,7.69%
VP Capital Fund I,VPC9697AU,1.40,3.87,0.13,0.53,2.14,-0.64,Alpha,18.24%
Intelligent Investor Aust Eq Gr ETF,IIGF,0.99,8.27,0.12,1.97,1.02,-1.96,Alpha,7.93%
Regal Emerging Companies III,RGL2432AU,1.94,3.18,0.07,1.11,2.72,-2.26,Momentum,20.93%
Mercer Sustainable Plus Australian Shs,MIN0045AU,-2.38,69.18,0.05,2.63,0.69,0.84,Size,2.24%
BetaShares Martin Currie Equity Inc ETF,EINC,-1.77,26.60,0.03,1.30,0.47,-3.57,Alpha,4.16%
QVG Opportunities Fund,QVG9204AU,1.03,12.31,0.02,7.16,3.17,-1.14,Size,14.18%
EQT Flagship Common No 2,ETL0068AU,-0.74,54.85,0.02,-3.71,-1.56,-0.60,Alpha,3.56%
Mercer Passive Australian Share,NCL0002AU,-4.68,63.77,0.00,1.49,2.02,0.51,Alpha,2.82%
Dimensional Australian Sustainability,DFA2068AU,0.01,41.39,0.00,6.38,-0.34,0.72,Size,3.94%
Spheria Opportunities,WHT0025AU,1.40,23.75,-0.02,4.39,-0.11,-1.50,Size,7.02%
Wheelhouse Australian Enhanced Income,PIM2087AU,-3.57,35.07,-0.03,2.40,1.62,0.26,Alpha,2.40%
Perennial Value Microcap Opportunities,WPC3982AU,0.68,7.28,-0.06,5.36,-1.39,-0.58,Size,14.33%
Fidelity WS Plus Australian Equities,BTA0481AU,-1.74,48.55,-0.07,2.86,2.55,-0.09,Size,2.83%
Lennox Australian Small Companies,HOW3590AU,1.00,12.65,-0.09,7.23,-0.13,-1.63,Size,11.31%
Ophir Opportunities,OPH0001AU,3.38,14.80,-0.11,8.92,2.88,0.52,Size,11.86%
AB Concentrated Australian Equities Fund,ACM0005AU,0.16,19.29,-0.15,0.06,-1.01,-2.39,Alpha,5.44%
Montgomery Small Companies,FHT3726AU,0.97,11.60,-0.15,7.22,1.15,-0.18,Size,11.46%
iShares Core S&P/ASX 200 ETF,IOZ,-12.18,343.98,-0.17,-1.70,-2.24,0.84,Beta,0.46%
Paradice Australian Mid Cap Fund B,ETL8772AU,-1.19,30.20,-0.20,8.96,3.67,0.81,Size,5.93%
LSN Emerging Companies,LSP6493AU,1.51,11.73,-0.22,2.97,0.05,-0.23,Size,7.79%
Hayborough Opportunities,HAY1035AU,1.30,6.09,-0.22,2.63,2.12,0.00,Size,9.83%
Perpetual Select Investments Aus Share,PER0255AU,-2.51,29.30,-0.22,1.44,0.23,-1.44,Alpha,5.60%
EQT Tax Aware Australian Equity,ETL8439AU,-0.25,40.14,-0.22,0.29,-1.70,-2.21,Alpha,2.61%
CI Brunswick,CIP0002AU,2.74,29.13,-0.22,4.44,2.03,-0.08,Size,6.08%
Australian Ethical Emerging Companies WS,AUG0027AU,1.65,12.54,-0.23,5.36,-0.21,-1.59,Size,9.80%
Fidelity Australian Opportunities MPS,WFS5839AU,-1.87,38.74,-0.25,4.95,-0.17,0.28,Size,3.14%
iShares S&P/ASX Small Ordinaries ETF,ISO,-2.25,43.69,-0.25,19.28,-3.68,-1.16,Size,8.02%
Advance Australia Shr Multi-Blend W,ADV0045AU,-3.84,109.19,-0.25,3.44,-0.48,-0.42,Size,1.79%
